NAICS,Description of NAICS,Set-Aside
339910,Jewelry and Silverware Manufacturing,WOSB
339920,Sporting and Athletic Goods Manufacturing,WOSB
339930,"Doll, Toy, and Game Manufacturing",WOSB
339940,Office Supplies (except Paper) Manufacturing,WOSB
339950,Sign Manufacturing,WOSB
339991,"Gasket, Packing, and Sealing Device Manufacturing",WOSB
339992,Musical Instrument Manufacturing,WOSB
339993,"Fastener, Button, Needle, and Pin Manufacturing",WOSB
339994,"Broom, Brush, and Mop Manufacturing",WOSB
339995,Burial Casket Manufacturing,WOSB
339999,All Other Miscellaneous Manufacturing,WOSB
481111,Scheduled Passenger Air Transportation,WOSB
481112,Scheduled Freight Air Transportation,WOSB
481211,Nonscheduled Chartered Passenger Air Transportation,WOSB
481212,Nonscheduled Chartered Freight Air Transportation,WOSB
481219,Other Nonscheduled Air Transportation,WOSB
483111,Deep Sea Freight Transportation,WOSB
483112,Deep Sea Passenger Transportation,WOSB
483113,Coastal and Great Lakes Freight Transportation,WOSB
483114,Coastal and Great Lakes Passenger Transportation,WOSB
483211,Inland Water Freight Transportation,WOSB
483212,Inland Water Passenger Transportation,WOSB
484110,"General Freight Trucking, Local",WOSB
484121,"General Freight Trucking, Long-Distance, Truckload",WOSB
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",WOSB
484210,Used Household and Office Goods Moving,WOSB
484220,"Specialized Freight (except Used Goods) Trucking, Local",WOSB
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",WOSB
485111,Mixed Mode Transit Systems,WOSB
485112,Commuter Rail Systems,WOSB
485113,Bus and Other Motor Vehicle Transit Systems,WOSB
485119,Other Urban Transit Systems,WOSB
485210,Interurban and Rural Bus Transportation,WOSB
485310,Taxi Service,WOSB
485320,Limousine Service,WOSB
485510,Charter Bus Industry,EDWOSB
485991,Special Needs Transportation,WOSB
485999,All Other Transit and Ground Passenger Transportation,WOSB
488111,Air Traffic Control,WOSB
488119,Other Airport Operations,WOSB
488190,Other Support Activities for Air Transportation,WOSB
488210,Support Activities for Rail Transportation,EDWOSB
488310,Port and Harbor Operations,WOSB
488320,Marine Cargo Handling,WOSB
488330,Navigational Services to Shipping,WOSB
488390,Other Support Activities for Water Transportation,WOSB
488410,Motor Vehicle Towing,WOSB
488490,Other Support Activities for Road Transportation,WOSB
488510,Freight Transportation Arrangement,WOSB
488991,Packing and Crating,WOSB
